Name,Title,Year,titleType,genres,runtimeMinutes,DomesticBoxOffice,InternationalBoxOffice,WorldwideBoxOffice,averageRating,numVotes
Nicolas Cage,Mandy,2018,movie,"Action,Fantasy,Horror",121,1233694,240530,1474224,6.5,80998
Nicolas Cage,Matchstick Men,2003,movie,"Comedy,Crime,Drama",116,36873198,22292102,59165300,7.3,132688
Nicolas Cage,Mom & Dad,2018,movie,"Comedy,Horror,Thriller",86,,286313,286313,5.5,24670
Nicolas Cage,Moonstruck,1987,movie,"Comedy,Drama,Romance",102,80640528,1687,80642215,7.1,61380
Kevin Bacon,Murder in the First,1995,movie,"Drama,Thriller",122,17300238,,17300238,7.3,29045
Kevin Bacon,My Dog Skip,2000,movie,"Comedy,Drama,Family",95,34099640,1695679,35795319,7.0,20781
Kevin Bacon,My One and Only,2009,movie,"Adventure,Biography,Comedy",108,2556558,792396,3348954,6.5,9090
Kevin Bacon,Mystic River,2003,movie,"Crime,Drama,Mystery",138,90135191,66686829,156822020,7.9,459894
Kevin Bacon,National Lampoon's Animal House,1978,movie,Comedy,109,141600000,,141600000,7.4,122726
Nicolas Cage,National Treasure,2004,movie,"Action,Adventure,Mystery",131,173005002,158318408,331323410,6.9,336895
Nicolas Cage,National Treasure: Book of Secrets,2007,movie,"Action,Adventure,Mystery",124,219961501,237364303,457325804,6.5,240876
Nicolas Cage,Next,2007,movie,"Action,Sci-Fi,Thriller",96,18211013,55380487,73591500,6.2,160334
Kevin Bacon,Only When I Laugh,1981,movie,"Comedy,Drama",120,25782304,,25782304,6.4,1520
Nicolas Cage,Outcast,2015,movie,"Action,Adventure,Thriller",99,,3820123,3820123,4.6,13742
Kevin Bacon,Patriots Day,2016,movie,"Action,Crime,Drama",133,31886361,20951628,52837989,7.3,104596
Nicolas Cage,Pay the Ghost,2015,movie,"Horror,Mystery",94,,2242988,2242988,5.2,17896
Nicolas Cage,Peggy Sue Got Married,1986,movie,"Comedy,Drama,Fantasy",103,41382841,,41382841,6.4,38469
Kevin Bacon,Picture Perfect,1997,movie,"Comedy,Drama,Romance",101,31301775,,31301775,5.5,20562
Nicolas Cage,Pig,2021,movie,"Drama,Mystery",92,3186667,688412,3875079,6.9,76628
Kevin Bacon,"Planes, Trains & Automobiles",1987,movie,"Comedy,Drama",93,49509935,242306,49752241,7.6,148211
Nicolas Cage,Primal,2019,tvSeries,"Action,Adventure,Animation",22,,39564,39564,8.7,15601
Nicolas Cage,Prisoners of the Ghostland,2021,movie,"Fantasy,Horror,Thriller",103,28204,43252,71456,4.2,11992
Kevin Bacon,Queen's Logic,1905,movie,"Comedy,Drama",100,612781,,612781,5.8,1706
Kevin Bacon,Quicksilver,1986,movie,"Crime,Drama,Thriller",105,7634909,,7634909,5.7,4951
Kevin Bacon,R.I.P.D.,2013,movie,"Action,Adventure,Comedy",96,33618855,45457823,79076678,5.6,135809
Nicolas Cage,Racing with the Moon,1984,movie,"Comedy,Drama,Romance",108,5400000,,5400000,6.6,4810
Kevin Bacon,Rails & Ties,2007,movie,Drama,101,22136,,22136,6.7,4180
Nicolas Cage,Raising Arizona,1987,movie,"Comedy,Crime",94,22847000,660,22847660,7.3,141273
Nicolas Cage,Red Rock West,1905,movie,"Crime,Drama,Thriller",98,2502551,7000000,9502551,7.0,23170
Nicolas Cage,Rumble Fish,1983,movie,"Crime,Drama,Romance",94,2500000,98,2500098,7.1,35206
Nicolas Cage,Running with the Devil,2019,movie,"Crime,Drama,Thriller",100,,59730,59730,5.4,8729
Nicolas Cage,Season of the Witch,2011,movie,"Action,Adventure,Fantasy",95,24827228,66299372,91126600,5.4,95120
Nicolas Cage,Seeking Justice,2012,movie,"Action,Crime,Drama",105,411746,,411746,6.1,46776
Kevin Bacon,She's Having a Baby,1988,movie,"Comedy,Drama,Romance",106,16031707,,16031707,5.9,13149
Kevin Bacon,Sleepers,1996,movie,"Crime,Drama,Thriller",147,53300852,112300000,165600852,7.5,225899
Nicolas Cage,Snake Eyes,1998,movie,"Crime,Mystery,Thriller",98,55591409,48300000,103891409,6.1,82965
Nicolas Cage,Snowden,2016,movie,"Biography,Crime,Drama",134,21587519,13793399,35380918,7.3,154010
Nicolas Cage,Sonny,2002,movie,"Crime,Drama",110,17639,,17639,5.6,4370
Nicolas Cage,Spider-Man: Into The Spider-Verse 3D,2018,movie,"Action,Adventure,Animation",117,190173195,185291432,375464627,8.4,532928
Kevin Bacon,Starting Over,1979,movie,"Comedy,Romance",105,38200000,,38200000,6.4,2915
Kevin Bacon,Stir of Echoes,1999,movie,"Horror,Mystery,Thriller",99,21133087,1926292,23059379,6.9,82859
Nicolas Cage,Stolen,2012,movie,"Action,Crime,Thriller",96,289773,17677973,17967746,5.5,45423
Kevin Bacon,Super,2011,movie,"Action,Comedy,Crime",96,327716,266217,593933,6.7,81014
Kevin Bacon,Taking Chance,2009,tvMovie,"Drama,War",77,,,,7.4,14177
Nicolas Cage,Teen Titans Go! To The Movies,2018,movie,"Action,Adventure,Animation",84,29790236,21830357,51620593,6.7,19967
Kevin Bacon,Telling Lies in America,1997,movie,"Drama,Music",101,291000,,291000,6.2,2322
Kevin Bacon,The Air I Breathe,2008,movie,"Crime,Drama,Thriller",95,25775,,25775,6.7,34418
Kevin Bacon,The Air Up There,1994,movie,"Comedy,Family,Sport",107,20782439,,20782439,5.5,9177
Nicolas Cage,The Ant Bully,2006,movie,"Adventure,Animation,Comedy",88,28142535,21468363,49610898,5.8,40107
Kevin Bacon,The Big Picture,1989,movie,"Adventure,Animation,Comedy",88,117463,,117463,5.8,40107
Nicolas Cage,The Boy in Blue,1986,movie,"Biography,Drama,Sport",100,275000,,275000,5.3,1280
Nicolas Cage,The Cotton Club,1984,movie,"Crime,Drama,Music",129,25928721,,25928721,6.5,18440
Nicolas Cage,The Croods,2013,movie,"Adventure,Animation,Comedy",98,187168425,385900000,573068425,7.2,217466
Nicolas Cage,The Croods: A New Age,2020,movie,"Adventure,Animation,Comedy",95,58568815,156221431,214790246,6.9,44720
Kevin Bacon,The Darkness,2016,movie,"Horror,Thriller",92,10753574,150921,10904495,4.5,16462
Nicolas Cage,The Family Man,2000,movie,"Comedy,Drama,Fantasy",125,75764085,48951778,124715863,6.8,112834
Nicolas Cage,The Frozen Ground,2013,movie,"Crime,Drama,Thriller",105,,5617460,5617460,6.4,64038
Kevin Bacon,The Guardians of the Galaxy Holiday Special,2022,tvSpecial,"Action,Adventure,Comedy",41,,,,6.9,60233
Nicolas Cage,The Humanity Bureau,2018,movie,"Sci-Fi,Thriller",95,,,,4.5,12735
Nicolas Cage,The Old Way,2023,movie,"Action,Western",95,,1297,1297,7.0,100
Kevin Bacon,The River Wild,1994,movie,"Adventure,Crime,Thriller",111,46815000,47400000,94215000,6.5,47334
Nicolas Cage,The Rock,1996,movie,"Action,Adventure,Thriller",136,134069511,202000000,336069511,7.4,341362
Nicolas Cage,The Runner,2015,movie,Drama,90,,20106,20106,4.7,5644
Nicolas Cage,The Sorcerer's Apprentice,2010,movie,"Action,Adventure,Family",109,63150991,154835329,217986320,6.1,163807
Nicolas Cage,The Trust,2016,movie,"Crime,Thriller",92,,60231,60231,5.4,19743
Nicolas Cage,The Unbearable Weight of Massive Talent,2022,movie,"Action,Comedy,Crime",107,20300157,8816163,29116320,7.0,91142
Nicolas Cage,The Weather Man,2005,movie,"Comedy,Drama",102,12482775,2984186,15466961,6.6,81138
Nicolas Cage,The Wicker Man,2006,movie,"Horror,Mystery,Thriller",102,24413467,13308360,37721827,3.7,68740
Kevin Bacon,The Woodsman,2004,movie,Drama,87,1566812,136956,1703768,7.2,34039
Kevin Bacon,They/Them,2022,movie,"Horror,Mystery,Thriller",104,,,,3.8,8968
Nicolas Cage,Tokarev,2014,movie,"Action,Thriller",98,,660082,660082,5.0,24748
Kevin Bacon,Trapped,2002,movie,"Action,Crime,Drama",106,6916869,88599,7005468,6.1,24492
Nicolas Cage,Trapped in Paradise,1994,movie,"Adventure,Comedy,Crime",111,6017509,,6017509,5.9,15632
Kevin Bacon,Tremors,1990,movie,"Comedy,Horror",96,16667084,307,16667391,7.1,140576
Nicolas Cage,Trespass,2011,movie,"Crime,Drama,Thriller",91,16816,769716,786532,5.3,43917
Nicolas Cage,USS Indianapolis: Men of Courage,2016,movie,"Action,Drama,History",128,,1663785,1663785,5.3,13321
Nicolas Cage,Valley Girl,1983,movie,"Action,Drama,History",128,16800000,,16800000,5.3,13321
Nicolas Cage,Vampire's Kiss,1989,movie,"Comedy,Crime,Fantasy",103,725131,609,725740,6.1,18480
Nicolas Cage,Vengeance: A Love Story,2017,movie,"Action,Thriller",99,4526,,4526,5.2,8027
Kevin Bacon,Where the Truth Lies,2005,movie,"Crime,Mystery,Thriller",107,872142,543514,1415656,6.5,18232
Kevin Bacon,White Water Summer,1987,movie,"Adventure,Drama",90,300859,,300859,6.2,5583
Nicolas Cage,Wild at Heart,1990,movie,"Comedy,Crime,Drama",125,14560000,1825,14561825,7.2,94861
Kevin Bacon,Wild Things,1998,movie,"Crime,Drama,Mystery",108,29795299,25780911,55576210,6.6,122623
Nicolas Cage,Willy�s Wonderland,2021,movie,"Action,Comedy,Horror",88,418286,12159,430445,5.5,30487
Nicolas Cage,Windtalkers,2002,movie,"Action,Drama,War",134,40914068,36714197,77628265,6.1,70326
Nicolas Cage,World Trade Center,2006,movie,"Drama,History,Thriller",129,70278893,93016761,163295654,6.0,84704
Kevin Bacon,X-Men: First Class,2011,movie,"Action,Adventure,Sci-Fi",131,146408305,209000000,355408305,7.7,696168
Kevin Bacon,You Should Have Left,2020,movie,"Horror,Thriller",93,,,,5.4,22285
